id,site
468,Bòbila Fusteret
469,Bòbila Madurell
470,Bòbila Padró
471,Bòbila Roca
472,Bòbila Sallent
473,Bòbila Vilatargas
474,Bola da Cera
475,Bosc del Quer
476,Buraco da Moura de São Romão
477,Burial_Loc_C10_408_Baja
478,Cabeça Gorda
479,Cabeceira
480,Cabeço da Anta
481,Cabeço da Arruda
482,Cabeço da Ministra Alta
484,Cabeço de Ante
483,Cabeço da Rainha
485,Cabeço do Pé da Erra
486,Cabeço dos Moinhos
487,Cabeçuda
488,Cabezo de los Vientos
489,Cabezo Juré
490,Cabezo Pardo
491,La Beleña
492,Cabrerizas de la Jara
493,Cal Pessetero
494,Calañas
495,Calatras Altas
496,Caldas de Monchique
497,Calle Alamillo
498,Calle Dinamarca 3-5
499,Calle Torre del Oro
500,Fosa del Camí de Cassals
501,Camino de las Yeseras
502,Campas de la Choza
503,Campas de Oletar
504,Campos
505,Can Ferreres
506,Can Gambús
507,Can Marchal
508,Can Masponts
509,Can Muset
510,Can Pou
511,Can Rafael del Forn
512,Can Roqueta
513,Can Soldevila
514,Can Vallés del Bruc
515,Canalejas
516,Cantazorras
517,Cañada
518,Cão do Ribeiro
519,Necrópole dos Carapinhais
520,Carapito
521,Caravaca
522,Carcavelos
523,Carrer de Igualtat
524,Casa da Moura
525,Casainhos
526,Casas del Monte
527,Casas Velhas
528,Cascajos
529,Castelhanas
530,Castellón Alto
531,Castillo de Alburquerque
532,Castillo de Melgarejo
533,Castro da Fórnea
534,Casullo
535,Cau de Olivar en Margall
536,Cebolinhos
537,Cementeri Solsona
538,Cerro de Córdoba
539,Cerro de Juan Canal
540,Cerro de la Casería de Tomillos
541,Cerro de la Encina
542,Cerro de la Gloria
543,Cerro de la Horca
599,Cova del Duc
600,Cova del Fum
546,Cerro de la Virgen
545,Cerro de la Peluca
544,Cerro de la Mesa
547,Cerro de los Castejones
548,Cerro de los Cortijo
549,Cerro del Alcázar
550,Cerro del Culantrillo
551,Cerro do Castelo de Santa Justa
552,Cerro Vasconcillas
553,Cerro Virtud
554,Ceuró
555,Chabola de la Hechicera
556,Chan de Arquiña
557,Charca Grande de la Regañada
558,Charneca das Vinhas
559,Churuletas
560,Cista de la Roca de Ivet
561,Cista de Montilla
562,Cista del Camp de la Bruna
563,Colecciò Furgús
564,Collado Palomero
565,Comenda
566,Comenda Grande
567,Complejo de las Motillas
568,Conchadas
569,Sepulcre de Corbera
570,Corona de Hualde
571,Corredor de Valdecavado
572,Corteganilla
573,Cortijo del Jadramil
574,Couto dos Andreiros
575,Coutos dos  Enchares
576,Cova Ampla del Montgó
577,Cova Bonica
578,Cova Cassimanya
579,Cova en Cabra
580,Cova de Algeps
581,Cova de Can Sadurní
582,Cova de Can Tradé
583,Cova de Font del Molinot
584,Cova de la Barcella
585,Cova de la Carretera
586,Cova de la Cocina
587,Cova de la Masia
588,Cova de la Paella
589,Cova de la Penya de Migjorn Beniardà
590,Cova de la Recambra
591,Cova de Arbreda Sector Gamma
592,Cova de les Aranyes
593,Cova de oret
594,Cova de Montmàs
595,Cova de Balconet
596,Cova Barranc del Castellet
597,Cova del Camí Real
598,Cova del Conill
601,Cova del Lladres
602,Cova del Negre
603,Cova del Racò Tancat
604,Cova dels Gats 
605,Cova dol Cara-Sol de Vernissa
606,Cova Negra
607,Cova Xuriguera
608,Covacha de la Presa
609,Covairada
610,Coveta de Marge del Moro
611,Coveta da Rocafort
612,Cuesta de los Almendrillos
613,Cuesta del Negro
614,Cueva de las Navajas
615,Cuesta Antoniana
616,Cuesta Bermeja de Monte Calvario
617,Cueva Carada
618,Cueva Chiquita
619,Cueva CV3
620,Cueva de Abauntz
621,Cueva de Chaves
622,Cueva de Cuestalaviga
623,Cueva de Huerta Anguita
625,Cueva de la Canaleja
626,Cueva de la Carigüela
627,Cueva de la Charneca
628,Cueva de la Dehesilla
629,Cueva de la Miranda
630,Cueva de la Murcielaguina
631,Cueva de la Pileta
632,Cueva de la Pulsera
633,Cueva de la Sima
634,Cueva de la Ventana
635,Cueva de la Victora
636,Cueva de la Zorrera
637,Cueva de las Majólicas
638,Cueva de los Alcores
639,Cueva de los Botijos
640,Cueva de los Mármoles
641,Cueva de los Moros
642,Cueva de los Murciélagos
643,Cueva de Nerja
644,Cueva de Pico Ramos
645,Cueva de Sorginzulo
646,Cueva del Agua de Prado Negro
647,Cueva del Algarrobo - Cueva del Kalgarrobo
648,Cueva del Forcón
649,Cueva del Gato
650,Cueva del Gran Duque
651,Cueva del Higuerón - Tesoro
652,Cueva del Hoyo de la Mina
653,Cueva del Parralejo
654,Cueva del Toll
655,Cueva del Toro
656,Cueva Sagrada
657,Cueva Sepulcral del Avellaner
658,Cueva Tapada
659,Datas
660,Dehesa de los Lomos
661,Dehesa de Valdecabreros
662,Dolmen Zafra
664,Dolmen de Añabusti
665,Dolmen de Areita
666,Dolmen de Ausokoi
667,Dolmen de Barranc
668,Dolmen de Cabana Arqueta
669,Dolmen de Cañada Real
671,Dolmen de Comes Llobes de Pils
672,Dolmen del Palomar
673,Dolmen de Font del Roure
670,Sierra Palacios
674,Dolmen de Gutina
675,Dolmen de la Cañada de Algane en Cerro Aljibe
676,Dolmen de la Mota
678,Dolmen de la Vega del Niño
679,Aguilillas
680,Los Viente
681,Matarrubilla
682,Soto
683,Dolmen de Tires Llargues
684,Cerro de Tomillos
685,Necrópolis del Tardón
686,Dolmen del Gigante
687,Dolmen del Llit del General
688,La Mezquita
677,Dolmen Zona Verde PP2 Divina Pastora
689,Dombate
690,El Becerrero
691,El Canjorro
692,El Capricho
693,El Carnerín - Cerro Castillón
694,El Castañuelo
695,El Corchero
696,El Espinillo
697,El Gandul
698,Poblado Prehistórico El Llano de la Virgen
699,El Llord
700,El Lobo
701,El Malagón
702,El Minguillo
703,El Oficio
704,El Pajarraco - Cabecicos Negros
705,El Palancar
706,El Pirujuelo
707,El Pozuelo
708,El Rebollosillo
709,El Retamar
710,El Sotillo
711,Soto - Burgos
712,El Trastejón
713,El Viso
714,Els Valls
715,Elurmenta
716,Entreáguas
717,Entretérminos
718,Eras del Alcázar
719,Eras del Garrote
720,Erbilleri
721,Ereta del Pedregal
722,Eskatxabel
723,Estação Arqueológica da Pedra de Ouro
724,Facho
725,Farranhão
726,Faulo
727,Feixa del Moro
728,Filtreira
729,Font de la Padruella
730,Font dels Dubots
731,Font do Alcaide
732,Forat de les Tombes
733,Fresnedilla del Gato
734,Los Fresnillos
735,Fuente Amarga
736,Fuente del Sauce
737,Dolmen del Gigante - Córdoba
738,Galupa
739,Gatas
740,Gorostiarán
741,Necrópolis Pantano de los Bermejales
742,Alapraia
743,Gruta da Marmota
744,Gruta dos Vales
745,Necrópole das Lapas
746,Gruta de Lapa Furada
747,Gruta de Salvé-Rainha
748,Gruta do Cadaval
749,Gruta do Curral das Cabras Gafas
750,Gruta do Escoural
751,Gruta do Carrascos
752,Grutas artificiais do Tojal de Vila Chã
753,Guadancil
754,Gueranda - Arizti
755,Guerrandijo
756,Gurpide Sur
757,Guta
758,Herdade da Torre
759,Herdade da Zambujeira
760,Herdade das Atafonas
761,Herdade do Montenegro
762,Las Cumbres
763,Convento do Carmo
764,Horta
765,Horta do Pinheiro
766,Huerta Cardosa
767,Huerta de Dios
768,Huerta de las Monjas
769,Humanejos
770,Ibne-Ahmmar
771,Igartza
772,Iglesia Antigua de Alcolea
773,Itaida
774,Jazigo da Herdade da Alcarapinha
775,Jentiletxeta
776,Joaninha
777,Juan Corrales
778,Kurtzebide
779,La Atalayuela
780,La Bastida
781,La Calaveruela
782,La Calva
783,La Cazuela
220,La Encantada
784,La Esparragosa
785,La Esparraguera
786,La Gardunya
787,La Huera
788,La Junta de los Ríos
789,La Llacuna
790,La Mina
791,La Mina de Farangortea
792,La Orden Seminario
793,La Paloma
794,La Papúa
795,La Renke
796,La Serreta
797,La Sierrezuela
798,La Traviesa
799,Aeroport de Reus
800,Lagar de las Ánimas
801,Lagunitas
802,Alqueria de Sant Andreu
803,Langagorri
804,Lapa da Bugalheira
805,Guta da Lapa da Galinha
806,Lapa do Bugio
807,Las Angosturas
808,Las Arquetas
809,Las Cabezas
810,Las Lanchas
811,Las Majadillas
812,Las Minitas
813,Las Navas
814,Las Palomas
815,Las Peñicas
816,Las Peñuelas
817,Las Piedras Viñaeras
818,Las Plazuelas
819,Las Vegas de Samburiel
820,Las Yurdinas
821,Leceia
822,Les Guixeres Vilobí
823,Les Jovades
824,Lizandro
825,Llanete de los Moros
826,Llano de la Media Legua
909,Otsopasaje
828,Llano del Jautón
829,Llanos de Escudero
830,Loma de Belmonte
831,Loma de Huéchar
832,Loma de la Alberica
833,Loma de la Atalaya
834,Loma de la Encantada
835,Loma de los Peregrinos
836,Loma del Campo de Mojácar
837,Loma del Puerca
838,Necrópolis de los Algarbes
839,Los Arcos
840,Los Cañitos de Habal
841,Los Castillejos
842,Los Castillejos de Fuente Obejuna
843,Los Castillejos de la Granjuela
844,Los Castillejos - Extremadura
845,Los Cipreses
846,Los Corralones
847,Los Eriales
848,Los Gabrieles
849,Los Husos
850,Lugarico Viejo
851,Lumentxa
852,Luperta
853,Mandubi Zelaia
854,Marizulo
855,Marroquíes Altos
856,Marroquíes Bajos
857,Mas en Boixos
858,Mas de Albella
859,Mas Pujó
860,Mascotejo
861,Mata
862,Maudinheiro
863,Maurketa
864,Meada
865,Mengíbar
866,Mesas de Asta
867,Mitra
868,Moita da Ladra
869,Molinos de Papel
870,Monte Abraão
871,Monte Canelas
872,Monte da Barca
873,Monte da Mora
874,Monte das Pedras
416,Monte do Pombal
875,Monte Velho
876,Montijo - Barbaño
877,Pessegueiro
878,Lousal
879,Gruta do Morgado
880,Murviedro
881,Navalvillar de Pela
882,Necrópole da Serra da Brenha
883,Necrópole das Baútas
884,Necrópole da Atalaia
885,Necrópolis da Alquife
887,Necrópolis de Corominas
886,Necrópolis de Camp Cinzano
888,Necrópolis del Moral
889,Necrópolis de Gorafe
890,Necrópolis de las Aguilillas
663,Necrópolis de las Angosturas
891,Necrópolis de las Chaperas - Cuesta Bermeja
827,Necrópolis del Mayorazgo
892,Necrópolis de Puente Esury
893,Necrópolis de Rota
894,Necrópolis de Valdearenas
895,Vale da Telha
896,Necrópolis de Vegachorro 
897,Necrópolis del Puig en Roca
898,Necrópolis del Ravalet
899,Necrópolis Masia Nova
900,Necrópolis megalítica de Fonelas
901,Obioneta Norte
902,Olaberta
903,Olelas
904,Olival da Pega
905,Ontiveros
906,Orca de Forles
907,Orca do Pinhal dos Amiais
908,Orca dos Castenairos
910,Outeiro do Rato
911,Outeiro Redondo - Castro de Sesimbra
912,Oyalkoba
913,Pagobakoitza
914,Palà de Coma 
915,Palmeira
916,Pamplonagañe
917,Parxubeira
918,Passo
919,Paternanbidea
920,Pedra Branca
921,Pedra Furada
922,Pedras Altas
923,Pedras da Granja
924,Castro do Penedo
925,Penedo do Lexim
926,Penha Verde
927,Peña de Hierro
928,Peñalosa
929,Picancieras
930,Pla del Riu de les Marcetes
931,Pocito Chico
932,Poço Velho
933,Polideportivo de Martos
934,Portillo de Enériz
935,Praia das Maçãs
936,Necrópole de Provença
937,Puerto de los Huertos
938,Puerto Viejo de Baquedano
939,Pujolet de Moja
940,Puntal sobre la rambla Castellarda
941,Puntarrón Chico
942,Querénima
943,Rambla de la Alquería
944,Rego da Murta
945,Ribeiro do Pereiro
946,Río de Gor
947,Penedo dos Mouros
948,Sagastietako Lepua
949,Sakulo
950,Salustreira Menor
951,San Blas
952,San Joaquín
953,San Martín
954,Sant Andreu de la Barca
955,Sant Genis de Vilassar
956,Sant Pau del Camp
957,Santa Cruz
958,Santa Elena
959,Santa Margarida
960,Santa Maria de Miralles
961,Santa Rita
962,Santa Vitòria
963,Santiago Maior
964,São Pedro
965,São Pedro do Estoril
966,Sector La Emisora
967,Sector Norte PP4 de Montelirio
968,SE-K T-16
969,Señorío de Guzmán 
970,Sepulcre de Can Llong
971,Pantano de Los Bermejales
972,Sepulcre de Montjuic Altes
974,Paseo de Canalejas
975,Sierra de les Quimeres
977,Sierra de San Cristobal
978,Sierra Palacios
979,Sima de la Curra - Sima de los Murciélagos de Carratraca
980,Sima de la Mesa - Cueva de la Sima
981,Sima del Tembleque
982,Simas de la Veredilla
983,Soalheira
984,Sokillete
985,El Solar
986,Sorginetxoa
987,Soto de Henares
988,Tabernas
989,Antinha da Várzea
990,Tapada da Lage de Peles
991,Tapada dos Canchos
992,Tapadão
993,Tarrerón
994,Terrera Ventura
995,Tesorillo de la Llaná
996,Pai Mogo
997,Dolmen de Castilleja de Guzmán
998,Cerro de la Barca
1000,Tholos do Escoural
1001,Tío Republicano
1002,Tituaria
1003,Torre de Frades
1004,Torre del Campo 
1005,Torre Velha
1006,Calle Trabajadores (Valencina) - UE56
1007,Tres Montes
1008,Trigache
1009,Trincones
1010,San Bieto
1011,Txotxinkoba
1012,Uelegoena Norte
1013,Umbría - Cerro del Castillo de Alange
1014,Urdenaz
1015,Valdelinares
1016,Vale da Laje
1017,Vale do Rodrigo
1018,Vale do Alvito - Cimo do Vale de Alvito
1019,Venegas
1020,Verride
1021,Vidigal
1022,Vila Nova de São Pedro
1023,Villa Filomena
1024,Vinya del Giralt
1025,Vinya del Pico
1026,Zubeintza
